run_dir,summary_file,k,metric_variant,metric_key,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results/llada8b-n10-d2,summary_mc4.jsonl,4,normalized_cleaned,empirical_KL_div_normalized_clean,543,527,0.3776091081593928,0.7722960151802657,0.20527931246163292,5000,0.33586337760910817,0.41935483870967744,0.7362428842504743,0.8064516129032258
results/llada8b-n10-d2,summary_mc64.jsonl,64,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.49355432780847147,0.8121546961325967,0.20527931246163292,5000,0.45119705340699817,0.5359116022099447,0.7790055248618785,0.8434622467771639
results/llada8b-n10-d2,summary_mc64.jsonl,64,unnormalized_cleaned,empirical_KL_div_clean,543,527,0.48956356736242884,0.7836812144212524,0.20527931246163292,5000,0.4478178368121442,0.5313092979127134,0.7476280834914611,0.8178368121442126
results/llada8b-n10-d2,summary_mc64.jsonl,64,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.5561694290976059,0.8416206261510129,0.20527931246163292,5000,0.5138121546961326,0.5966850828729282,0.8103130755064457,0.8710865561694291
results/llada8b-n10-d2,summary_mc64.jsonl,64,normalized_cleaned,empirical_KL_div_normalized_clean,543,527,0.5104364326375711,0.8121442125237192,0.20527931246163292,5000,0.4667931688804554,0.5521821631878557,0.777988614800759,0.8444022770398482
results/llada8b-n10-d2,summary_mc8.jsonl,8,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.429097605893186,0.7569060773480663,0.20527931246163292,5000,0.3885819521178637,0.4714548802946593,0.7200736648250461,0.7918968692449355
results/llada8b-n10-d2,summary_mc8.jsonl,8,unnormalized_cleaned,empirical_KL_div_clean,543,527,0.42314990512333966,0.7647058823529411,0.20527931246163292,5000,0.3795066413662239,0.4648956356736243,0.7286527514231499,0.8007590132827325
results/llada8b-n10-d2,summary_mc8.jsonl,8,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.43646408839779005,0.7918968692449355,0.20527931246163292,5000,0.39410681399631675,0.47882136279926335,0.7569060773480663,0.8250460405156538
results/llada8b-n10-d2,summary_mc8.jsonl,8,normalized_cleaned,empirical_KL_div_normalized_clean,543,527,0.396584440227704,0.7609108159392789,0.20527931246163292,5000,0.3548387096774194,0.43833017077798864,0.7248576850094877,0.7969639468690702
results/llada8b-n10-d4,summary_mc128.jsonl,128,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.6556169429097606,0.8729281767955801,0.411402701043585,5000,0.6151012891344383,0.6961325966850829,0.8434622467771639,0.9005524861878453
results/llada8b-n10-d4,summary_mc128.jsonl,128,unnormalized_cleaned,empirical_KL_div_clean,543,491,0.6252545824847251,0.8513238289205702,0.411402701043585,5000,0.5824847250509165,0.6680244399185336,0.8207739307535642,0.8818737270875764
results/llada8b-n10-d4,summary_mc128.jsonl,128,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.6703499079189686,0.8913443830570903,0.411402701043585,5000,0.6316758747697975,0.7090239410681399,0.8637200736648251,0.9171270718232044
results/llada8b-n10-d4,summary_mc128.jsonl,128,normalized_cleaned,empirical_KL_div_normalized_clean,543,491,0.6272912423625254,0.8879837067209776,0.411402701043585,5000,0.5845213849287169,0.670061099796334,0.8594704684317719,0.9144602851323829
results/llada8b-n10-d4,summary_mc16.jsonl,16,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.39779005524861877,0.7016574585635359,0.411402701043585,5000,0.35911602209944754,0.44014732965009207,0.6629834254143646,0.7403314917127072
results/llada8b-n10-d4,summary_mc16.jsonl,16,unnormalized_cleaned,empirical_KL_div_clean,543,491,0.39307535641547864,0.7433808553971487,0.411402701043585,5000,0.34826883910386963,0.4378818737270876,0.7046843177189409,0.780040733197556
results/llada8b-n10-d4,summary_mc16.jsonl,16,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.430939226519337,0.7421731123388582,0.411402701043585,5000,0.39042357274401474,0.4732965009208103,0.7053406998158379,0.7790055248618785
results/llada8b-n10-d4,summary_mc16.jsonl,16,normalized_cleaned,empirical_KL_div_normalized_clean,543,491,0.40529531568228105,0.7515274949083504,0.411402701043585,5000,0.3604887983706721,0.45010183299389,0.7128309572301426,0.7881873727087576
results/llada8b-n10-d4,summary_mc2.jsonl,2,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.3885819521178637,0.7071823204419889,0.411402701043585,5000,0.3462246777163904,0.429097605893186,0.6685082872928176,0.7440147329650092
results/llada8b-n10-d4,summary_mc2.jsonl,2,unnormalized_cleaned,empirical_KL_div_clean,543,491,0.4093686354378819,0.7026476578411406,0.411402701043585,5000,0.3645621181262729,0.45417515274949083,0.6619144602851323,0.7433808553971487
results/llada8b-n10-d4,summary_mc2.jsonl,2,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.3996316758747698,0.7182320441988951,0.411402701043585,5000,0.3572744014732965,0.44014732965009207,0.6795580110497238,0.7569060773480663
results/llada8b-n10-d4,summary_mc2.jsonl,2,normalized_cleaned,empirical_KL_div_normalized_clean,543,491,0.40325865580448067,0.7393075356415478,0.411402701043585,5000,0.3604887983706721,0.4460285132382892,0.7006109979633401,0.7780040733197556
results/llada8b-n10-d4,summary_mc256.jsonl,256,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.6832412523020258,0.8839779005524862,0.411402701043585,5000,0.6427255985267035,0.7219152854511971,0.856353591160221,0.9097605893186004
results/llada8b-n10-d4,summary_mc256.jsonl,256,unnormalized_cleaned,empirical_KL_div_clean,543,491,0.6802443991853361,0.8778004073319755,0.411402701043585,5000,0.639511201629328,0.7209775967413442,0.8492871690427699,0.9063136456211812
results/llada8b-n10-d4,summary_mc256.jsonl,256,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.6721915285451197,0.8987108655616943,0.411402701043585,5000,0.6335174953959485,0.7108655616942909,0.8729281767955801,0.9226519337016574
results/llada8b-n10-d4,summary_mc256.jsonl,256,normalized_cleaned,empirical_KL_div_normalized_clean,543,491,0.659877800407332,0.869653767820774,0.411402701043585,5000,0.6191446028513238,0.7006109979633401,0.8391038696537678,0.8981670061099797
results/llada8b-n10-d4,summary_mc32.jsonl,32,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.4143646408839779,0.7661141804788214,0.411402701043585,5000,0.3738489871086556,0.4567219152854512,0.7292817679558011,0.8011049723756906
results/llada8b-n10-d4,summary_mc32.jsonl,32,unnormalized_cleaned,empirical_KL_div_clean,543,491,0.42362525458248473,0.7739307535641547,0.411402701043585,5000,0.38085539714867617,0.4663951120162933,0.7352342158859471,0.8105906313645621
results/llada8b-n10-d4,summary_mc32.jsonl,32,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.43646408839779005,0.7440147329650092,0.411402701043585,5000,0.39594843462246776,0.47882136279926335,0.7090239410681399,0.7790055248618785
results/llada8b-n10-d4,summary_mc32.jsonl,32,normalized_cleaned,empirical_KL_div_normalized_clean,543,491,0.38289205702647655,0.7535641547861507,0.411402701043585,5000,0.34012219959266804,0.4256619144602851,0.714867617107943,0.790224032586558
results/llada8b-n10-d4,summary_mc4.jsonl,4,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.3738489871086556,0.7053406998158379,0.411402701043585,5000,0.3333333333333333,0.4143646408839779,0.6666666666666666,0.7440147329650092
results/llada8b-n10-d4,summary_mc4.jsonl,4,unnormalized_cleaned,empirical_KL_div_clean,543,491,0.40122199592668023,0.7189409368635438,0.411402701043585,5000,0.3564154786150713,0.4439918533604888,0.6801934826883911,0.7576374745417516
