run_dir,metric_key,non_alnum_ratio,max_consec_repeat,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results/llama8b-n100-t2.0,empirical_KL_div_normalized_clean,0.35,8,543,543,0.8471454880294659,0.9429097605893186,0.5194890585842856,5000,0.8176795580110497,0.8766114180478821,0.9226519337016574,0.9613259668508287
results/llama8b-n100-t2.0,empirical_KL_div_normalized_clean,0.35,12,543,543,0.8471454880294659,0.9429097605893186,0.5167698107962405,5000,0.8176795580110497,0.8766114180478821,0.9226519337016574,0.9613259668508287
results/llama8b-n100-t2.0,empirical_KL_div_normalized_clean,0.35,20,543,543,0.8471454880294659,0.9429097605893186,0.514252261742082,5000,0.8176795580110497,0.8766114180478821,0.9226519337016574,0.9613259668508287
results/llama8b-n100-t2.0,empirical_KL_div_normalized_clean,0.45,8,543,543,0.8471454880294659,0.9484346224677717,0.5141721251346867,5000,0.8176795580110497,0.8766114180478821,0.9300184162062615,0.9668508287292817
results/llama8b-n100-t2.0,empirical_KL_div_normalized_clean,0.45,12,543,543,0.8471454880294659,0.9484346224677717,0.5113853512570161,5000,0.8176795580110497,0.8766114180478821,0.9300184162062615,0.9668508287292817
results/llama8b-n100-t2.0,empirical_KL_div_normalized_clean,0.45,20,543,543,0.8471454880294659,0.9484346224677717,0.5087341235788639,5000,0.8176795580110497,0.8766114180478821,0.9300184162062615,0.9668508287292817
results/llada8b-n10-d2,empirical_KL_div_normalized_clean,0.25,8,543,507,0.6568047337278107,0.8757396449704142,0.4665899324739104,5000,0.6153846153846154,0.6982248520710059,0.8461538461538461,0.903353057199211
results/llada8b-n10-d2,empirical_KL_div_normalized_clean,0.25,12,543,507,0.6568047337278107,0.8757396449704142,0.4665899324739104,5000,0.6153846153846154,0.6982248520710059,0.8461538461538461,0.903353057199211
results/llada8b-n10-d2,empirical_KL_div_normalized_clean,0.25,20,543,507,0.6568047337278107,0.8757396449704142,0.4665285451197053,5000,0.6153846153846154,0.6982248520710059,0.8461538461538461,0.903353057199211
results/llada8b-n10-d2,empirical_KL_div_normalized_clean,0.35,8,543,527,0.7039848197343453,0.9184060721062619,0.20569367710251688,5000,0.6641366223908919,0.7419829222011378,0.8937381404174574,0.9411764705882353
results/llada8b-n10-d2,empirical_KL_div_normalized_clean,0.35,12,543,527,0.7039848197343453,0.9184060721062619,0.20558624923265806,5000,0.6641366223908919,0.7419829222011378,0.8937381404174574,0.9411764705882353
results/llada8b-n10-d2,empirical_KL_div_normalized_clean,0.35,20,543,527,0.7039848197343453,0.9184060721062619,0.20535604665438917,5000,0.6641366223908919,0.7419829222011378,0.8937381404174574,0.9411764705882353
results/llada8b-n10-d2,empirical_KL_div_normalized_clean,0.45,8,543,529,0.7164461247637051,0.9149338374291115,0.1780472000545665,5000,0.6767485822306238,0.7542533081285444,0.8903591682419659,0.9376181474480151
results/llada8b-n10-d2,empirical_KL_div_normalized_clean,0.45,12,543,529,0.7164461247637051,0.9149338374291115,0.17781699747629764,5000,0.6767485822306238,0.7542533081285444,0.8903591682419659,0.9376181474480151
results/llada8b-n10-d2,empirical_KL_div_normalized_clean,0.45,20,543,529,0.7164461247637051,0.9149338374291115,0.1774640201896187,5000,0.6767485822306238,0.7542533081285444,0.8903591682419659,0.9376181474480151
results/llada8b-n10-d4,empirical_KL_div_normalized_clean,0.25,8,543,474,0.6497890295358649,0.8523206751054853,0.46879646681672466,5000,0.6096518987341772,0.6919831223628692,0.820675105485232,0.8818565400843882
