run_dir,num_examples_with_dirs,subsample_n,subsample_reps,sample_with_replacement,metric_key,ranking_accuracy_all_mean,ranking_accuracy_all_ci_low,ranking_accuracy_all_ci_high,ranking_accuracy_any_mean,ranking_accuracy_any_ci_low,ranking_accuracy_any_ci_high,evaluated_instances_mean,artifact_rate_mean
results/llama8b-n100,543,10,1000,False,empirical_KL_div_normalized_clean,0.7039469803537814,0.6758747697974218,0.7292817679558011,0.8982573885683609,0.8784530386740331,0.9152854511970534,542.899,0.025241093657127258
results/llama8b-n100-t2.0,543,10,1000,False,empirical_KL_div_normalized_clean,0.7128144310381008,0.6790335389439237,0.74536497092923,0.9049000143198657,0.8824326592916678,0.927242193362795,537.551,0.5167832435056078
results/llada8b-n10-d2,543,10,1000,False,empirical_KL_div_normalized_clean,0.7039848197343451,0.7039848197343453,0.7039848197343453,0.9184060721062616,0.9184060721062619,0.9184060721062619,527.0,0.20558624923265803
results/llada8b-n10-d4,543,10,1000,False,empirical_KL_div_normalized_clean,0.6598778004073321,0.659877800407332,0.659877800407332,0.8696537678207737,0.869653767820774,0.869653767820774,491.0,0.4120302162199031
results/llada8b-n10-d8,543,10,1000,False,empirical_KL_div_normalized_clean,0.6975881261595548,0.6975881261595547,0.6975881261595547,0.9053803339517629,0.9053803339517625,0.9053803339517625,539.0,0.16571004706363818
results/llada8b-n10-d16,543,10,1000,False,empirical_KL_div_normalized_clean,0.675874769797422,0.6758747697974218,0.6758747697974218,0.8784530386740331,0.8784530386740331,0.8784530386740331,543.0,0.08440249641907101
results/llada8b-n10-d32,543,10,1000,False,empirical_KL_div_normalized_clean,0.6561338289962826,0.6561338289962825,0.6561338289962825,0.8308550185873605,0.8308550185873605,0.8308550185873605,538.0,0.06801889366346088
results/llada8b-n10-d64,543,10,1000,False,empirical_KL_div_normalized_clean,0.6118546845124283,0.6118546845124283,0.6118546845124283,0.8049713193116634,0.8049713193116634,0.8049713193116634,523.0,0.09385535726465745
results/llada8b-n10-d128,543,10,1000,False,empirical_KL_div_normalized_clean,0.5946462715105163,0.5946462715105163,0.5946462715105163,0.8049713193116634,0.8049713193116634,0.8049713193116634,523.0,0.09400961735215874
