panel,series,progress_pct,mean_entropy,std_entropy,band_entropy,num_examples
gold,llama_gold,0.0,0.2520397196728928,0.3395598106694757,0.3395598106694757,543
gold,llama_gold,1.0,0.255414062238432,0.328999397344775,0.328999397344775,543
gold,llama_gold,2.0,0.2587884048039709,0.325477950494071,0.325477950494071,543
gold,llama_gold,3.0,0.2621627473695103,0.32922142007420724,0.32922142007420724,543
gold,llama_gold,4.0,0.2655370899350493,0.33998991894877634,0.33998991894877634,543
gold,llama_gold,5.0,0.268911432500588,0.3571485698013844,0.3571485698013844,543
gold,llama_gold,6.0,0.26927091039723516,0.3496461050495559,0.3496461050495559,543
gold,llama_gold,7.000000000000001,0.269630388293882,0.3463782465398156,0.3463782465398156,543
gold,llama_gold,8.0,0.2699898661905294,0.34746449258908607,0.34746449258908607,543
gold,llama_gold,9.0,0.2703493440871762,0.3528646349223824,0.3528646349223824,543
gold,llama_gold,10.0,0.2707088219838229,0.36238587249248966,0.36238587249248966,543
gold,llama_gold,11.0,0.26892335141907975,0.35310789872623927,0.35310789872623927,543
gold,llama_gold,12.0,0.2671378808543371,0.3473432494125094,0.3473432494125094,543
gold,llama_gold,13.0,0.2653524102895937,0.3452679465152897,0.3452679465152897,543
gold,llama_gold,14.000000000000002,0.2635669397248506,0.34694820085740835,0.34694820085740835,543
gold,llama_gold,15.0,0.2617814691601077,0.3523302860589248,0.3523302860589248,543
gold,llama_gold,16.0,0.25942068030277127,0.3401965846333712,0.3401965846333712,543
gold,llama_gold,17.0,0.2570598914454349,0.33308750000059706,0.33308750000059706,543
gold,llama_gold,18.0,0.25469910258809814,0.3313266211092542,0.3313266211092542,543
gold,llama_gold,19.0,0.25233831373076143,0.3349982952095333,0.3349982952095333,543
gold,llama_gold,20.0,0.24997752487342506,0.34392857757025963,0.34392857757025963,543
gold,llama_gold,21.0,0.24921393625155286,0.33459986121278357,0.33459986121278357,543
gold,llama_gold,22.0,0.2484503476296812,0.3297617555929108,0.3297617555929108,543
gold,llama_gold,23.0,0.24768675900780954,0.32961206205752863,0.32961206205752863,543
gold,llama_gold,24.0,0.2469231703859376,0.3341570815199138,0.3341570815199138,543
gold,llama_gold,25.0,0.24615958176406583,0.3432103531072298,0.3432103531072298,543
gold,llama_gold,26.0,0.24608604908152992,0.3331319843242917,0.3331319843242917,543
gold,llama_gold,27.0,0.2460125163989934,0.327214980868296,0.327214980868296,543
gold,llama_gold,28.000000000000004,0.24593898371645745,0.3256862303727116,0.3256862303727116,543
gold,llama_gold,28.999999999999996,0.24586545103392143,0.32860698384100584,0.32860698384100584,543
gold,llama_gold,30.0,0.24579191835138553,0.33586117850791813,0.33586117850791813,543
gold,llama_gold,31.0,0.24559385321004698,0.3292985955006283,0.3292985955006283,543
gold,llama_gold,32.0,0.2453957880687083,0.3264241064881384,0.3264241064881384,543
gold,llama_gold,33.0,0.24519772292736958,0.32733488680922307,0.32733488680922307,543
gold,llama_gold,34.0,0.24499965778603133,0.331999785355606,0.331999785355606,543
gold,llama_gold,35.0,0.24480159264469245,0.34026443445923676,0.34026443445923676,543
gold,llama_gold,36.0,0.2451112303487948,0.3329113907535681,0.3329113907535681,543
gold,llama_gold,37.0,0.24542086805289728,0.329504855226013,0.329504855226013,543
gold,llama_gold,38.0,0.24573050575700006,0.33016700611961,0.33016700611961,543
gold,llama_gold,39.0,0.24604014346110253,0.33487370907685104,0.33487370907685104,543
gold,llama_gold,40.0,0.24634978116520495,0.34345872666190697,0.34345872666190697,543
gold,llama_gold,41.0,0.24466912630847518,0.3319286856276962,0.3319286856276962,543
gold,llama_gold,42.0,0.24298847145174535,0.32512360002703666,0.32512360002703666,543
gold,llama_gold,43.0,0.24130781659501546,0.323341933216603,0.323341933216603,543
gold,llama_gold,44.0,0.23962716173828585,0.326665890150256,0.326665890150256,543
gold,llama_gold,45.0,0.23794650688155594,0.3349435016965806,0.3349435016965806,543
gold,llama_gold,46.0,0.24032641614110695,0.32834246950164875,0.32834246950164875,543
gold,llama_gold,47.0,0.24270632540065792,0.32612178295078154,0.32612178295078154,543
gold,llama_gold,48.0,0.2450862346602088,0.32837032362628854,0.32837032362628854,543
