panel,series,progress_pct,mean_entropy,std_entropy,band_entropy,num_examples
Autoregressive (LLaMA),gold,0.0,0.2520397196728928,0.3395598106694757,0.028560936214932945,543
Autoregressive (LLaMA),gold,1.0,0.255414062238432,0.328999397344775,0.027672682417242814,543
Autoregressive (LLaMA),gold,2.0,0.2587884048039709,0.325477950494071,0.027376487709485916,543
Autoregressive (LLaMA),gold,3.0,0.2621627473695103,0.32922142007420724,0.02769135711552668,543
Autoregressive (LLaMA),gold,4.0,0.2655370899350493,0.33998991894877634,0.028597113332320307,543
Autoregressive (LLaMA),gold,5.0,0.268911432500588,0.3571485698013844,0.0300403557807403,543
Autoregressive (LLaMA),gold,6.0,0.26927091039723516,0.3496461050495559,0.029409311085523613,543
Autoregressive (LLaMA),gold,7.000000000000001,0.269630388293882,0.3463782465398156,0.02913444611174446,543
Autoregressive (LLaMA),gold,8.0,0.2699898661905294,0.34746449258908607,0.029225812060104987,543
Autoregressive (LLaMA),gold,9.0,0.2703493440871762,0.3528646349223824,0.02968002694622107,543
Autoregressive (LLaMA),gold,10.0,0.2707088219838229,0.36238587249248966,0.030480873955738803,543
Autoregressive (LLaMA),gold,11.0,0.26892335141907975,0.35310789872623927,0.029700488266339194,543
Autoregressive (LLaMA),gold,12.0,0.2671378808543371,0.3473432494125094,0.02921561409637696,543
Autoregressive (LLaMA),gold,13.0,0.2653524102895937,0.3452679465152897,0.02904105694381731,543
Autoregressive (LLaMA),gold,14.000000000000002,0.2635669397248506,0.34694820085740835,0.02918238591026802,543
Autoregressive (LLaMA),gold,15.0,0.2617814691601077,0.3523302860589248,0.029635081981221698,543
Autoregressive (LLaMA),gold,16.0,0.25942068030277127,0.3401965846333712,0.02861449632421176,543
Autoregressive (LLaMA),gold,17.0,0.2570598914454349,0.33308750000059706,0.028016539480193895,543
Autoregressive (LLaMA),gold,18.0,0.25469910258809814,0.3313266211092542,0.027868429049814316,543
Autoregressive (LLaMA),gold,19.0,0.25233831373076143,0.3349982952095333,0.028177259619525545,543
Autoregressive (LLaMA),gold,20.0,0.24997752487342506,0.34392857757025963,0.028928400410843505,543
Autoregressive (LLaMA),gold,21.0,0.24921393625155286,0.33459986121278357,0.028143746678330906,543
Autoregressive (LLaMA),gold,22.0,0.2484503476296812,0.3297617555929108,0.027736805627981462,543
Autoregressive (LLaMA),gold,23.0,0.24768675900780954,0.32961206205752863,0.02772421465760894,543
Autoregressive (LLaMA),gold,24.0,0.2469231703859376,0.3341570815199138,0.02810650374743049,543
Autoregressive (LLaMA),gold,25.0,0.24615958176406583,0.3432103531072298,0.028867989365625416,543
Autoregressive (LLaMA),gold,26.0,0.24608604908152992,0.3331319843242917,0.028020281130093812,543
Autoregressive (LLaMA),gold,27.0,0.2460125163989934,0.327214980868296,0.02752259220172199,543
Autoregressive (LLaMA),gold,28.000000000000004,0.24593898371645745,0.3256862303727116,0.02739400647390323,543
Autoregressive (LLaMA),gold,28.999999999999996,0.24586545103392143,0.32860698384100584,0.02763967586965129,543
Autoregressive (LLaMA),gold,30.0,0.24579191835138553,0.33586117850791813,0.028249838158185676,543
Autoregressive (LLaMA),gold,31.0,0.24559385321004698,0.3292985955006283,0.027697848468042824,543
Autoregressive (LLaMA),gold,32.0,0.2453957880687083,0.3264241064881384,0.027456070452045043,543
Autoregressive (LLaMA),gold,33.0,0.24519772292736958,0.32733488680922307,0.027532677688352037,543
Autoregressive (LLaMA),gold,34.0,0.24499965778603133,0.331999785355606,0.02792505000582298,543
Autoregressive (LLaMA),gold,35.0,0.24480159264469245,0.34026443445923676,0.02862020328507064,543
Autoregressive (LLaMA),gold,36.0,0.2451112303487948,0.3329113907535681,0.02800172664070816,543
Autoregressive (LLaMA),gold,37.0,0.24542086805289728,0.329504855226013,0.02771519731403496,543
Autoregressive (LLaMA),gold,38.0,0.24573050575700006,0.33016700611961,0.02777089191876276,543
Autoregressive (LLaMA),gold,39.0,0.24604014346110253,0.33487370907685104,0.028166780474240986,543
Autoregressive (LLaMA),gold,40.0,0.24634978116520495,0.34345872666190697,0.028888880475320122,543
Autoregressive (LLaMA),gold,41.0,0.24466912630847518,0.3319286856276962,0.02791906969033827,543
Autoregressive (LLaMA),gold,42.0,0.24298847145174535,0.32512360002703666,0.02734668270674797,543
Autoregressive (LLaMA),gold,43.0,0.24130781659501546,0.323341933216603,0.027196823770177316,543
Autoregressive (LLaMA),gold,44.0,0.23962716173828585,0.326665890150256,0.02747640727499808,543
Autoregressive (LLaMA),gold,45.0,0.23794650688155594,0.3349435016965806,0.028172650846698902,543
Autoregressive (LLaMA),gold,46.0,0.24032641614110695,0.32834246950164875,0.027617427131912224,543
Autoregressive (LLaMA),gold,47.0,0.24270632540065792,0.32612178295078154,0.027430641520247438,543
Autoregressive (LLaMA),gold,48.0,0.2450862346602088,0.32837032362628854,0.02761976998831679,543
Autoregressive (LLaMA),gold,49.0,0.24746614391975966,0.33499810991817813,0.02817724403436379,543
Autoregressive (LLaMA),gold,50.0,0.24984605317931077,0.34575339469910005,0.029081888791927153,543
Autoregressive (LLaMA),gold,51.0,0.24921693724884586,0.3350975731927082,0.028185610054576787,543
Autoregressive (LLaMA),gold,52.0,0.24858782131838122,0.3294364889593384,0.027709446914487096,543
Autoregressive (LLaMA),gold,53.0,0.24795870538791578,0.3290280535768852,0.02767509274023082,543
Autoregressive (LLaMA),gold,54.0,0.2473295894574509,0.3338915436303444,0.028084168917193408,543
Autoregressive (LLaMA),gold,55.00000000000001,0.24670047352698618,0.3438032996636853,0.02891786307931491,543
Autoregressive (LLaMA),gold,56.00000000000001,0.248316908798587,0.335838893765631,0.02824796375172463,543
Autoregressive (LLaMA),gold,57.00000000000001,0.2499333440701882,0.3319261118214636,0.02791885320324725,543
Autoregressive (LLaMA),gold,57.99999999999999,0.25154977934178896,0.3322081460307885,0.02794257556617082,543
Autoregressive (LLaMA),gold,59.0,0.2531662146133899,0.3366744544907139,0.0283182441436407,543
Autoregressive (LLaMA),gold,60.0,0.2547826498849908,0.3451626453733558,0.029032199890939928,543
Autoregressive (LLaMA),gold,61.0,0.25395281558681315,0.3365615417894217,0.02830874686994066,543
Autoregressive (LLaMA),gold,62.0,0.2531229812886354,0.33249041731209156,0.027966317869609816,543
Autoregressive (LLaMA),gold,63.0,0.2522931469904579,0.33311540093370273,0.028018886273735794,543
Autoregressive (LLaMA),gold,64.0,0.25146331269228034,0.33841047503916094,0.028464263697763587,543
Autoregressive (LLaMA),gold,65.0,0.2506334783941027,0.3481626278557136,0.029284533369850776,543
Autoregressive (LLaMA),gold,66.0,0.24997804897541992,0.33971619685456633,0.028574090115120555,543
Autoregressive (LLaMA),gold,67.0,0.2493226195567377,0.334786932076648,0.028159481517503925,543
Autoregressive (LLaMA),gold,68.0,0.24866719013805544,0.33353081100145343,0.028053827100286137,543
Autoregressive (LLaMA),gold,69.0,0.24801176071937342,0.3359890331533307,0.028260592223471586,543
Autoregressive (LLaMA),gold,70.0,0.24735633130069073,0.34208153330070584,0.02877304246826227,543
Autoregressive (LLaMA),gold,71.0,0.24856303362738214,0.3337419869797957,0.028071589460430195,543
Autoregressive (LLaMA),gold,72.0,0.24976973595407392,0.32982876286250495,0.02774244172004148,543
Autoregressive (LLaMA),gold,73.0,0.25097643828076516,0.3304991259291429,0.027798827064200272,543
Autoregressive (LLaMA),gold,74.0,0.25218314060745667,0.33572562034907694,0.02823843613766845,543
Autoregressive (LLaMA),gold,75.0,0.25338984293414796,0.34530142277139,0.029043872686979937,543
Autoregressive (LLaMA),gold,76.0,0.2521738475397989,0.33638320599612365,0.028293746751972684,543
Autoregressive (LLaMA),gold,77.0,0.2509578521454498,0.3320471200482464,0.027929031404960263,543
Autoregressive (LLaMA),gold,78.0,0.24974185675110064,0.33247249290168035,0.02796481021786082,543
Autoregressive (LLaMA),gold,79.0,0.24852586135675123,0.3376413290579232,0.028399569559588663,543
Autoregressive (LLaMA),gold,80.0,0.24730986596240181,0.3473419289224423,0.029215503027777576,543
Autoregressive (LLaMA),gold,81.0,0.2445420056512831,0.3356346843989593,0.028230787364788554,543
Autoregressive (LLaMA),gold,82.0,0.24177414534016453,0.32852923906604314,0.027633136628289433,543
Autoregressive (LLaMA),gold,83.0,0.2390062850290456,0.32632633089705787,0.027447846385672985,543
Autoregressive (LLaMA),gold,84.0,0.23623842471792747,0.3291244161678945,0.027683197956834327,543
Autoregressive (LLaMA),gold,85.0,0.2334705644068084,0.3367988749456821,0.028328709353499234,543
Autoregressive (LLaMA),gold,86.0,0.23450250360215222,0.32898449969118426,0.027671429351006503,543
Autoregressive (LLaMA),gold,87.0,0.23553444279749572,0.32509710124754954,0.027344453850661574,543
Autoregressive (LLaMA),gold,88.0,0.23656638199283928,0.3252775042516454,0.027359627845142273,543
Autoregressive (LLaMA),gold,89.0,0.23759832118818316,0.3295190277281691,0.02771638938658703,543
Autoregressive (LLaMA),gold,90.0,0.23863026038352697,0.33766866870909934,0.028401869142780915,543
Autoregressive (LLaMA),gold,91.0,0.24028737186922153,0.3305968503465476,0.027807046826269978,543
Autoregressive (LLaMA),gold,92.0,0.24194448335491617,0.32744117153741714,0.027541617472293452,543
Autoregressive (LLaMA),gold,93.0,0.24360159484061067,0.3283145746140299,0.0276150808468662,543
Autoregressive (LLaMA),gold,94.0,0.2452587063263055,0.33318537590603126,0.028024771984171835,543
Autoregressive (LLaMA),gold,95.0,0.24691581781199987,0.3418827653725055,0.028756323769698645,543
Autoregressive (LLaMA),gold,96.0,0.2460268082833566,0.33529737166202517,0.02820241543365493,543
Autoregressive (LLaMA),gold,97.0,0.24513779875471417,0.3321570604327564,0.027938278672189107,543
Autoregressive (LLaMA),gold,98.0,0.24424878922607096,0.3325594402724939,0.027972123504751176,543
Autoregressive (LLaMA),gold,99.0,0.24335977969742778,0.3364918022783559,0.02830288096454012,543
Autoregressive (LLaMA),gold,100.0,0.24247077016878488,0.3438330522999133,0.028920365622663192,543
Autoregressive (LLaMA),distractor_rewrite,0.0,0.15780599292646177,0.2847833813928995,0.023953600324488258,543
Autoregressive (LLaMA),distractor_rewrite,1.0,0.16410297262741652,0.26866944825854727,0.02259823080795289,543
Autoregressive (LLaMA),distractor_rewrite,2.0,0.17039995232837138,0.26280992302193407,0.022105376467497388,543
Autoregressive (LLaMA),distractor_rewrite,3.0,0.1766969320293263,0.2678785619479498,0.02253170805478695,543
Autoregressive (LLaMA),distractor_rewrite,4.0,0.1829939117302813,0.28328938802057607,0.023827938075683446,543
Autoregressive (LLaMA),distractor_rewrite,5.0,0.18929089143123615,0.3074913265119969,0.025863603074342663,543
Autoregressive (LLaMA),distractor_rewrite,6.0,0.18564804028439444,0.29264972599845157,0.024615251554888275,543
Autoregressive (LLaMA),distractor_rewrite,7.000000000000001,0.18200518913755293,0.2831352379453296,0.023814972258386156,543
Autoregressive (LLaMA),distractor_rewrite,8.0,0.17836233799071102,0.2794924299480693,0.023508569664251504,543
Autoregressive (LLaMA),distractor_rewrite,9.0,0.17471948684386948,0.281948981950144,0.023715194308380007,543
Autoregressive (LLaMA),distractor_rewrite,10.0,0.17107663569702758,0.29035012147353645,0.024421828022149872,543
Autoregressive (LLaMA),distractor_rewrite,11.0,0.17156846397293463,0.28127831808338183,0.02365878366342621,543
Autoregressive (LLaMA),distractor_rewrite,12.0,0.17206029224884115,0.27664674732424194,0.023269214601157225,543
Autoregressive (LLaMA),distractor_rewrite,13.0,0.17255212052474783,0.2766784863040454,0.023271884219142655,543
Autoregressive (LLaMA),distractor_rewrite,14.000000000000002,0.17304394880065455,0.2813719569521111,0.02366665978325247,543
Autoregressive (LLaMA),distractor_rewrite,15.0,0.17353577707656098,0.2905012959209848,0.02443454355448094,543
Autoregressive (LLaMA),distractor_rewrite,16.0,0.17463723308827256,0.2835290474436888,0.023848096225387132,543
Autoregressive (LLaMA),distractor_rewrite,17.0,0.17573868909998405,0.2809964931170625,0.02363507890027726,543
Autoregressive (LLaMA),distractor_rewrite,18.0,0.1768401451116956,0.28302284029925306,0.023805518306830552,543
Autoregressive (LLaMA),distractor_rewrite,19.0,0.1779416011234073,0.28951237919169065,0.024351364135893203,543
Autoregressive (LLaMA),distractor_rewrite,20.0,0.1790430571351188,0.30017577828102265,0.025248280236253615,543
Autoregressive (LLaMA),distractor_rewrite,21.0,0.17916209044436981,0.29153636212466544,0.024521604681542093,543
Autoregressive (LLaMA),distractor_rewrite,22.0,0.1792811237536208,0.2872752563816521,0.024163196043336815,543
Autoregressive (LLaMA),distractor_rewrite,23.0,0.17940015706287188,0.2875871438910255,0.024189429416608777,543
Autoregressive (LLaMA),distractor_rewrite,24.0,0.17951919037212277,0.29245739458533837,0.02459907424223392,543
Autoregressive (LLaMA),distractor_rewrite,25.0,0.1796382236813739,0.301665311028439,0.025373567294533966,543
Autoregressive (LLaMA),distractor_rewrite,26.0,0.17999549330021344,0.2912302462604469,0.02449585677087185,543
Autoregressive (LLaMA),distractor_rewrite,27.0,0.18035276291905303,0.2856776476761605,0.024028818537812816,543
Autoregressive (LLaMA),distractor_rewrite,28.000000000000004,0.1807100325378929,0.2852927373987579,0.023996443098977183,543
Autoregressive (LLaMA),distractor_rewrite,28.999999999999996,0.1810673021567328,0.2900960862007567,0.024400460695999292,543
Autoregressive (LLaMA),distractor_rewrite,30.0,0.18142457177557242,0.29983845322330727,0.02521990726879874,543
Autoregressive (LLaMA),distractor_rewrite,31.0,0.18066811578481617,0.29046224892895167,0.024431259247522933,543
Autoregressive (LLaMA),distractor_rewrite,32.0,0.17991165979405985,0.2857302933225858,0.02403324665004018,543
Autoregressive (LLaMA),distractor_rewrite,33.0,0.1791552038033036,0.2858733031246285,0.024045275440568125,543
Autoregressive (LLaMA),distractor_rewrite,34.0,0.17839874781254766,0.29088408826264184,0.024466740850244764,543
Autoregressive (LLaMA),distractor_rewrite,35.0,0.17764229182179153,0.3005192549857983,0.02527717062889776,543
Autoregressive (LLaMA),distractor_rewrite,36.0,0.1771473243524335,0.29190616253464624,0.024552709204485768,543
Autoregressive (LLaMA),distractor_rewrite,37.0,0.1766523568830751,0.28720255002028694,0.024157080591259976,543
Autoregressive (LLaMA),distractor_rewrite,38.0,0.17615738941371703,0.2866009658995861,0.024106480357783063,543
Autoregressive (LLaMA),distractor_rewrite,39.0,0.17566242194435913,0.29012692821412506,0.024403054868657167,543
Autoregressive (LLaMA),distractor_rewrite,40.0,0.175167454475001,0.29763378033973326,0.02503446859312507,543
Autoregressive (LLaMA),distractor_rewrite,41.0,0.17306614947492063,0.2834807775199972,0.023844036162422266,543
Autoregressive (LLaMA),distractor_rewrite,42.0,0.17096484447483998,0.274505104814565,0.0230890775142815,543
Autoregressive (LLaMA),distractor_rewrite,43.0,0.1688635394747597,0.2712212588221288,0.022812867806940928,543
Autoregressive (LLaMA),distractor_rewrite,44.0,0.16676223447467914,0.2738340870431523,0.023032637101823322,543
Autoregressive (LLaMA),distractor_rewrite,45.0,0.16466092947459893,0.282179837228575,0.02373461192694078,543
Autoregressive (LLaMA),distractor_rewrite,46.0,0.166591738944983,0.2740190616985788,0.023048195625444242,543
Autoregressive (LLaMA),distractor_rewrite,47.0,0.168522548415367,0.27123523856389226,0.022814043666098172,543
Autoregressive (LLaMA),distractor_rewrite,48.0,0.17045335788575133,0.2739923099874715,0.023045945494861737,543
Autoregressive (LLaMA),distractor_rewrite,49.0,0.17238416735613526,0.28212787890342783,0.02373024162644074,543
Autoregressive (LLaMA),distractor_rewrite,50.0,0.1743149768265196,0.2951975897693629,0.024829556582629524,543
Autoregressive (LLaMA),distractor_rewrite,51.0,0.17411694382635368,0.2827519559313098,0.02378273377547157,543
Autoregressive (LLaMA),distractor_rewrite,52.0,0.17391891082618788,0.27536030460803557,0.023161009780659488,543
Autoregressive (LLaMA),distractor_rewrite,53.0,0.173720877826022,0.27343281317023316,0.022998885293956054,543
Autoregressive (LLaMA),distractor_rewrite,54.0,0.17352284482585612,0.2770835369993203,0.023305953701772984,543
Autoregressive (LLaMA),distractor_rewrite,55.00000000000001,0.1733248118256903,0.2860990157750084,0.024064260504194156,543
Autoregressive (LLaMA),distractor_rewrite,56.00000000000001,0.17351907677772768,0.2769032705125569,0.023290791189990483,543
Autoregressive (LLaMA),distractor_rewrite,57.00000000000001,0.17371334172976519,0.2727518478934728,0.022941608180401914,543
Autoregressive (LLaMA),distractor_rewrite,57.99999999999999,0.1739076066818026,0.2738742316350512,0.023036013729717943,543
Autoregressive (LLaMA),distractor_rewrite,59.0,0.1741018716338402,0.2802070553960181,0.02356867799036994,543
Autoregressive (LLaMA),distractor_rewrite,60.0,0.17429613658587773,0.29141082332225826,0.024511045405634323,543
Autoregressive (LLaMA),distractor_rewrite,61.0,0.17511940804876036,0.2806888353506896,0.023609201297671464,543
Autoregressive (LLaMA),distractor_rewrite,62.0,0.17594267951164347,0.27555087396387506,0.023177038883767778,543
Autoregressive (LLaMA),distractor_rewrite,63.0,0.17676595097452621,0.27630862003300377,0.023240774156516437,543
Autoregressive (LLaMA),distractor_rewrite,64.0,0.1775892224374091,0.282914705127516,0.02379642287902806,543
Autoregressive (LLaMA),distractor_rewrite,65.0,0.1784124939002921,0.2949764647574351,0.024810957392846895,543
Autoregressive (LLaMA),distractor_rewrite,66.0,0.17691861249923088,0.2834748290111595,0.023843535823524234,543
Autoregressive (LLaMA),distractor_rewrite,67.0,0.17542473109816975,0.27721401837190396,0.02331692870541741,543
Autoregressive (LLaMA),distractor_rewrite,68.0,0.17393084969710887,0.27655020278020287,0.02326109408018401,543
