model,diffusion_steps,diversity_mean_cosine_dist,perplexity_median,perplexity_mean,overlap_mean,num_evaluated_instances,seed_used
llada8b-n10-d2,2,0.7689315829012129,1368.397705078125,3301.5351496995277,0.1222520463592054,543.0,42.0
llada8b-n10-d4,4,0.8061372294264325,7049.17138671875,14204.020837379507,0.06211005879527078,543.0,42.0
llada8b-n10-d8,8,0.789564208760446,1054.5081787109375,2696.4242120566328,0.11979333668541937,543.0,42.0
llada8b-n10-d16,16,0.7410923308430456,162.09003448486328,552.5227063315991,0.18254978358764395,543.0,42.0
llada8b-n10-d32,32,0.6721531015513791,46.63230323791504,158.10189666967418,0.2350524456521615,543.0,42.0
llada8b-n10-d64,64,0.6164810358105882,24.026083946228027,56.03329526580621,0.27581996431091493,543.0,42.0
llada8b-n10-d128,128,0.616835631526197,24.018741607666016,59.23886641783712,0.27262747600977266,543.0,42.0
