model,diffusion_steps,mc,section,total_instances,total_evaluated,artifact_rate,rank_acc_all,rank_acc_any,mean_kl_valid,mean_kl_distractor
llada8b-n10-d2,2,2,Unnormalized_Unfiltered,543.0,543.0,0.20543345543345543,0.4014732965009208,0.7348066298342542,0.10710554778878298,2.6045703422087976
llada8b-n10-d4,4,2,Unnormalized_Unfiltered,543.0,543.0,0.41178266178266176,0.3885819521178637,0.7071823204419889,0.28690038577969573,2.58668115251216
llada8b-n10-d8,8,2,Unnormalized_Unfiltered,543.0,543.0,0.16544566544566544,0.3720073664825046,0.7108655616942909,0.9081272257036066,2.955971716656284
llada8b-n10-d16,16,2,Unnormalized_Unfiltered,543.0,543.0,0.0843101343101343,0.3664825046040516,0.7348066298342542,1.3604251034194774,3.259650585743052
llada8b-n10-d32,32,2,Unnormalized_Unfiltered,543.0,543.0,0.06367521367521367,0.425414364640884,0.7421731123388582,2.585821637675775,5.89882708830387
llada8b-n10-d64,64,2,Unnormalized_Unfiltered,543.0,543.0,0.06442816442816443,0.4125230202578269,0.7071823204419889,3.200470286726558,4.9853656176917225
llada8b-n10-d128,128,2,Unnormalized_Unfiltered,543.0,543.0,0.0641025641025641,0.3720073664825046,0.7034990791896869,3.343853599267258,5.5321758601433855
llada8b-n10-d2,2,4,Unnormalized_Unfiltered,543.0,543.0,0.20543345543345543,0.42173112338858193,0.7697974217311234,0.2067909428033125,2.6044634399753415
llada8b-n10-d4,4,4,Unnormalized_Unfiltered,543.0,543.0,0.41178266178266176,0.3738489871086556,0.7053406998158379,0.5992254579120151,2.3265056379933724
llada8b-n10-d8,8,4,Unnormalized_Unfiltered,543.0,543.0,0.16544566544566544,0.4143646408839779,0.7384898710865562,0.9630858725181215,2.8092318831626057
llada8b-n10-d16,16,4,Unnormalized_Unfiltered,543.0,543.0,0.0843101343101343,0.3775322283609576,0.7292817679558011,1.379654064412041,3.446044338030891
llada8b-n10-d32,32,4,Unnormalized_Unfiltered,543.0,543.0,0.06367521367521367,0.40331491712707185,0.7440147329650092,2.434082926486329,5.798888638198267
llada8b-n10-d64,64,4,Unnormalized_Unfiltered,543.0,543.0,0.06442816442816443,0.3885819521178637,0.6924493554327809,3.324319910334116,4.936376319838851
llada8b-n10-d128,128,4,Unnormalized_Unfiltered,543.0,543.0,0.0641025641025641,0.39594843462246776,0.7108655616942909,3.1616167251883613,5.455654109674002
llada8b-n10-d2,2,8,Unnormalized_Unfiltered,543.0,543.0,0.20543345543345543,0.429097605893186,0.7569060773480663,0.19010548115629025,2.5785670524385877
llada8b-n10-d4,4,8,Unnormalized_Unfiltered,543.0,543.0,0.41178266178266176,0.3885819521178637,0.6998158379373849,0.6019978806507249,2.0141514961939544
llada8b-n10-d8,8,8,Unnormalized_Unfiltered,543.0,543.0,0.16544566544566544,0.430939226519337,0.7495395948434622,0.836411502640604,2.861434636469851
llada8b-n10-d16,16,8,Unnormalized_Unfiltered,543.0,543.0,0.0843101343101343,0.4014732965009208,0.7292817679558011,1.4666287571122563,3.6223082700727134
llada8b-n10-d32,32,8,Unnormalized_Unfiltered,543.0,543.0,0.06367521367521367,0.42357274401473294,0.7550644567219152,2.252728148155055,5.9843712269806355
llada8b-n10-d64,64,8,Unnormalized_Unfiltered,543.0,543.0,0.06442816442816443,0.3756906077348066,0.7071823204419889,3.43713985425837,4.838843061390223
llada8b-n10-d128,128,8,Unnormalized_Unfiltered,543.0,543.0,0.0641025641025641,0.3996316758747698,0.7237569060773481,3.0591753355721822,5.088336839616476
llada8b-n10-d2,2,16,Unnormalized_Unfiltered,543.0,543.0,0.20543345543345543,0.44935543278084716,0.7808471454880295,0.3097631197349999,2.584552904765549
llada8b-n10-d4,4,16,Unnormalized_Unfiltered,543.0,543.0,0.41178266178266176,0.39779005524861877,0.7016574585635359,0.6457505852316295,2.012834632485809
llada8b-n10-d8,8,16,Unnormalized_Unfiltered,543.0,543.0,0.16544566544566544,0.43278084714548803,0.7624309392265194,1.0093504565058293,2.8626073198567266
llada8b-n10-d16,16,16,Unnormalized_Unfiltered,543.0,543.0,0.0843101343101343,0.4106813996316759,0.7384898710865562,1.4043309567804683,3.524621621077525
llada8b-n10-d32,32,16,Unnormalized_Unfiltered,543.0,543.0,0.06367521367521367,0.4419889502762431,0.7550644567219152,2.2183731232725084,5.7171032311797605
llada8b-n10-d64,64,16,Unnormalized_Unfiltered,543.0,543.0,0.06442816442816443,0.3812154696132597,0.7090239410681399,3.3522456767995856,4.934412043011921
llada8b-n10-d128,128,16,Unnormalized_Unfiltered,543.0,543.0,0.0641025641025641,0.3885819521178637,0.7348066298342542,2.9694436786551024,5.218327126710191
llada8b-n10-d2,2,32,Unnormalized_Unfiltered,543.0,543.0,0.20543345543345543,0.4843462246777164,0.7826887661141805,0.41089046582340283,2.4025647772655323
llada8b-n10-d4,4,32,Unnormalized_Unfiltered,543.0,543.0,0.41178266178266176,0.4143646408839779,0.7661141804788214,0.6769965365223628,2.242343987448395
llada8b-n10-d8,8,32,Unnormalized_Unfiltered,543.0,543.0,0.16544566544566544,0.44935543278084716,0.7771639042357275,0.9224653506350053,2.7192149999608537
llada8b-n10-d16,16,32,Unnormalized_Unfiltered,543.0,543.0,0.0843101343101343,0.43278084714548803,0.7458563535911602,1.2543716477824987,3.4923686029892
llada8b-n10-d32,32,32,Unnormalized_Unfiltered,543.0,543.0,0.06367521367521367,0.4088397790055249,0.7403314917127072,2.3146934503933068,5.143842355516643
llada8b-n10-d64,64,32,Unnormalized_Unfiltered,543.0,543.0,0.06442816442816443,0.39042357274401474,0.7679558011049724,3.267470586465044,5.388522924949183
llada8b-n10-d128,128,32,Unnormalized_Unfiltered,543.0,543.0,0.0641025641025641,0.4088397790055249,0.7624309392265194,3.027267503301334,5.427526185680368
llada8b-n10-d2,2,64,Unnormalized_Unfiltered,543.0,543.0,0.20543345543345543,0.49355432780847147,0.8121546961325967,0.6391346115725625,2.386666477502861
llada8b-n10-d4,4,64,Unnormalized_Unfiltered,543.0,543.0,0.41178266178266176,0.4990791896869245,0.8121546961325967,0.3847788097844367,2.226092700383843
llada8b-n10-d8,8,64,Unnormalized_Unfiltered,543.0,543.0,0.16544566544566544,0.5064456721915286,0.7955801104972375,0.7216997272710262,2.6472679141703215
llada8b-n10-d16,16,64,Unnormalized_Unfiltered,543.0,543.0,0.0843101343101343,0.43462246777163904,0.7366482504604052,1.4258759236348775,3.3549494384764698
llada8b-n10-d32,32,64,Unnormalized_Unfiltered,543.0,543.0,0.06367521367521367,0.4088397790055249,0.7311233885819521,2.362355385113412,4.411180670875499
llada8b-n10-d64,64,64,Unnormalized_Unfiltered,543.0,543.0,0.06442816442816443,0.43830570902394106,0.7863720073664825,2.9999135781175412,5.9295715628424706
llada8b-n10-d128,128,64,Unnormalized_Unfiltered,543.0,543.0,0.0641025641025641,0.425414364640884,0.7697974217311234,2.892791277268476,5.571995364548063
llada8b-n10-d2,2,128,Unnormalized_Unfiltered,543.0,543.0,0.20543345543345543,0.6998158379373849,0.8913443830570903,0.6362977865990507,2.51261031346097
llada8b-n10-d4,4,128,Unnormalized_Unfiltered,543.0,543.0,0.41178266178266176,0.6556169429097606,0.8729281767955801,0.49511712086749865,2.2241557930005307
llada8b-n10-d8,8,128,Unnormalized_Unfiltered,543.0,543.0,0.16544566544566544,0.6721915285451197,0.8802946593001841,0.7870272991308292,2.798442308452328
llada8b-n10-d16,16,128,Unnormalized_Unfiltered,543.0,543.0,0.0843101343101343,0.6482504604051565,0.858195211786372,1.403505873284191,3.686090507428569
llada8b-n10-d32,32,128,Unnormalized_Unfiltered,543.0,543.0,0.06367521367521367,0.6151012891344383,0.8360957642725598,2.10771595682655,4.695541933084966
llada8b-n10-d64,64,128,Unnormalized_Unfiltered,543.0,543.0,0.06442816442816443,0.585635359116022,0.8342541436464088,2.7250211612232804,5.420717433333801
llada8b-n10-d128,128,128,Unnormalized_Unfiltered,543.0,543.0,0.0641025641025641,0.567219152854512,0.7900552486187845,2.7923219931855963,5.457863181161155
llada8b-n10-d2,2,256,Unnormalized_Unfiltered,543.0,543.0,0.20543345543345543,0.7440147329650092,0.8950276243093923,0.5897036699007068,2.558025926107108
llada8b-n10-d4,4,256,Unnormalized_Unfiltered,543.0,543.0,0.41178266178266176,0.6832412523020258,0.8839779005524862,0.48092847032397595,2.227294485157716
llada8b-n10-d8,8,256,Unnormalized_Unfiltered,543.0,543.0,0.16544566544566544,0.714548802946593,0.9208103130755064,0.7555842372451494,2.7850035965389046
llada8b-n10-d16,16,256,Unnormalized_Unfiltered,543.0,543.0,0.0843101343101343,0.6979742173112339,0.8950276243093923,1.3812722028324749,3.7047799762924942
llada8b-n10-d32,32,256,Unnormalized_Unfiltered,543.0,543.0,0.06367521367521367,0.6206261510128913,0.8342541436464088,2.0997349580304077,4.732243638244374
llada8b-n10-d64,64,256,Unnormalized_Unfiltered,543.0,543.0,0.06442816442816443,0.583793738489871,0.8324125230202578,2.72900798362594,5.441927780056756
llada8b-n10-d128,128,256,Unnormalized_Unfiltered,543.0,543.0,0.0641025641025641,0.5948434622467772,0.8047882136279927,2.8020107158470644,5.484679075717094
