model,section,total_instances,total_evaluated,artifact_rate,rank_acc_all,rank_acc_any,mean_kl_valid,mean_kl_distractor
llama8b-n100,Unnormalized_Unfiltered,543.0,543.0,0.025224713558046893,0.7790055248618785,0.9392265193370166,1.9985952591551919,4.777599257811566
llama8b-n100,Unnormalized_Cleaned,543.0,543.0,0.025224713558046893,0.7771639042357275,0.9392265193370166,2.014800072191722,4.81958259935111
llama8b-n100,Normalized_Unfiltered,543.0,543.0,0.025224713558046893,0.7605893186003683,0.9281767955801105,0.12834360896447614,0.30706740391435294
llama8b-n100,Normalized_Cleaned,543.0,543.0,0.025224713558046893,0.7605893186003683,0.9300184162062615,0.1277680031359018,0.3054394028042725
llama8b-n100-t2.0,Unnormalized_Unfiltered,543.0,543.0,0.4942274392274393,0.8839779005524862,0.9705340699815838,0.37607323307748136,2.694292650338528
llama8b-n100-t2.0,Unnormalized_Cleaned,543.0,543.0,0.4942274392274393,0.8729281767955801,0.9631675874769797,0.3784922619110185,2.616578046283366
llama8b-n100-t2.0,Normalized_Unfiltered,543.0,543.0,0.4942274392274393,0.8416206261510129,0.9447513812154696,0.018166902157057196,0.11921688638997488
llama8b-n100-t2.0,Normalized_Cleaned,543.0,543.0,0.4942274392274393,0.8471454880294659,0.9429097605893186,0.02527371614922296,0.1650899446122785
