run_dir,summary_file,k,metric_variant,metric_key,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results\llada8b-n10-d128,summary_mc4.jsonl,4,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.39594843462246776,0.7108655616942909,0.06383943796466816,20,0.3587476979742173,0.418232044198895,0.6765653775322283,0.746915285451197
results\llada8b-n10-d128,summary_mc4.jsonl,4,unnormalized_cleaned,empirical_KL_div_clean,543,541,0.38632162661737524,0.7079482439926063,0.06383943796466816,20,0.36940850277264325,0.42814232902033267,0.6884011090573013,0.754713493530499
results\llada8b-n10-d128,summary_mc4.jsonl,4,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.40331491712707185,0.7237569060773481,0.06383943796466816,20,0.3569060773480663,0.42453959484346226,0.6727900552486188,0.753683241252302
results\llada8b-n10-d128,summary_mc4.jsonl,4,normalized_cleaned,empirical_KL_div_normalized_clean,543,541,0.4066543438077634,0.7134935304990758,0.06383943796466816,20,0.3767097966728281,0.4308687615526802,0.6865526802218115,0.7532809611829945
results\llada8b-n10-d128,summary_mc64.jsonl,64,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.425414364640884,0.7697974217311234,0.06383943796466816,20,0.3817219152854512,0.4531307550644567,0.7438305709023941,0.7883977900552486
results\llada8b-n10-d128,summary_mc64.jsonl,64,unnormalized_cleaned,empirical_KL_div_clean,543,541,0.4399260628465804,0.7486136783733827,0.06383943796466816,20,0.4010166358595194,0.4852587800369686,0.7123382624768946,0.7941312384473198
results\llada8b-n10-d128,summary_mc64.jsonl,64,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.47697974217311234,0.7753222836095764,0.06383943796466816,20,0.4416206261510129,0.5103130755064457,0.748572744014733,0.7974217311233885
results\llada8b-n10-d128,summary_mc64.jsonl,64,normalized_cleaned,empirical_KL_div_normalized_clean,543,541,0.4713493530499076,0.7689463955637708,0.06383943796466816,20,0.43507393715341963,0.5160813308687615,0.7300369685767099,0.8059149722735675
results\llada8b-n10-d128,summary_mc8.jsonl,8,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.3996316758747698,0.7237569060773481,0.06383943796466816,20,0.36823204419889505,0.4226979742173112,0.6867403314917128,0.743232044198895
results\llada8b-n10-d128,summary_mc8.jsonl,8,unnormalized_cleaned,empirical_KL_div_clean,543,541,0.38632162661737524,0.7190388170055453,0.06383943796466816,20,0.35268022181146025,0.42814232902033267,0.6810998151571164,0.7634935304990758
results\llada8b-n10-d128,summary_mc8.jsonl,8,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.39594843462246776,0.7384898710865562,0.06383943796466816,20,0.3425414364640884,0.4198895027624309,0.6956721915285451,0.7664825046040515
results\llada8b-n10-d128,summary_mc8.jsonl,8,normalized_cleaned,empirical_KL_div_normalized_clean,543,541,0.38632162661737524,0.7282809611829945,0.06383943796466816,20,0.34098890942698706,0.41529574861367835,0.6906654343807763,0.759011090573013
